date,revenue,download,reviews,rating,×ÛºÏÆÀ·Ö
2020/1/31,0.4580050390035102,0.7460194266802566,0.0810780741523655,1,0.3616359096782924
2020/2/29,0.4408381228314099,0.2162294688590189,0.1499457625232943,0.6001100965349558,0.22162328381746044
2020/3/31,0.5134498859395433,0.4964939237280454,0.2719383639751898,0.5757682249972823,0.37348549682710724
2020/4/30,0.4654237965926386,0.612215365048289,1,0.7523711768629909,0.8383944703778129
2020/5/31,0.4692890625430284,0.3312089434158276,0.2807554307011932,0.7728098717445268,0.34468036593532914
2020/6/30,0.3770554219971975,1,0.2889884015242122,0.7120445336032523,0.5259081667597835
2020/7/31,0.4047183507417781,0.2426600298429043,0.1772035713292354,0.8159850311534768,0.25907710730948663
2020/8/31,0.462082296845258,0.4973569155558229,0.1195449614774844,0.9550988006128224,0.31121632741152516
2020/9/30,0.376788440841905,0.338495191145559,0.0922315244903067,0.7355707384198019,0.22865919207216354
2020/10/31,0.3907468075377156,0.520694183666371,0.0413873668400411,0.5659657773853298,0.23800632442509734
2020/11/30,0.3446231724305059,0.3140803020499743,0.0850276750201652,0.5264576648522385,0.19954965992914514
2020/12/31,0.4008482046031469,0.1838774583271669,0.2361138152588101,0.7555738379949101,0.2719063067069392
2021/1/31,0.5667625089159296,0.5258690652708796,0.1793730703974633,0.6459558613598188,0.33683306836399574
2021/2/28,0.7547547151158742,0.2624096058528979,0.1006313798570355,0.536567738316853,0.22113247837043606
2021/3/31,0.6769588326143539,0.090617563453737,0.0198036325202347,0.6224297623678333,0.12785669636353145
2021/4/30,0.6152227781531263,0.5228587711570389,0.0667538174839373,0.5393465785175601,0.2656189136962131
2021/5/31,0.6459102384188078,0.2306235576431595,0.018468556170556,0.6748417793046767,0.1682712572282794
2021/6/30,0.3622584820983192,0.5595358164671692,0.0637220816065418,0.631227130772987,0.26500384819680045
2021/7/31,1,0.8379966803473942,0.0489249853976024,0.6174761971753421,0.3739916090872637
2021/8/31,0.816933315504379,0.5172770415902467,0.0916474285873223,0.5198764079309713,0.2898851841361019
2021/9/30,0.3661798702134852,0.4362688894330771,0.4015242121658832,0.0953023959938959,0.38547669004532664
2021/10/31,0.2103582309150303,0.3192002500888798,0.0497594081161516,0.2917110904849948,0.15393743697659154
2021/11/30,0.691244851662844,0.6685479527938515,0.0634161266097405,0.4317373535035892,0.30102154865919456
2021/12/31,0.8476013770218009,0.2013933489762383,0.0222512724946457,0.4695725077772041,0.1594240753809426
2022/1/31,0.7891876501398627,0.4469961498287605,0.1546185297471699,0.3940781294902612,0.2953085786739751
2022/2/28,0.6356641786305062,0.7517710620490115,0.041554251383751,0.3872383522456341,0.30465212613920756
2022/3/31,0.3769508291056378,0.2354593806682272,0.0347397991822657,0.5294748515793629,0.1507101568963854
2022/4/30,0.4679591938180006,0.3637913364916764,0.1182933273996606,0.3717257832144165,0.22873996804260505
2022/5/31,0.5775206050262174,0.2529699428816899,0.1227435818985898,0.3637708363840343,0.2067219595889533
2022/6/30,0.2971445356288251,0.0594771635905206,0.1488053848079437,0.2904655256884924,0.14417966070865784
2022/7/31,0.519399480287839,0.4156044087172725,0.0863627513698439,0.36977999574339,0.22785596845132955
2022/8/31,0.4010573032400476,0.1106625684344642,0.0900342113314605,0.4593944717839715,0.1440294230253336
2022/9/30,0.2999000642023621,0.2097450490443987,0.0838872973048146,0.2735509432871883,0.14744315618351345
2022/10/31,0.370947587545174,0.3782753558690637,0.009874002169499,0.3333990442318156,0.16079706375557343
2022/11/30,0.2999433235852735,0.0828799534208258,0.0109031235223764,0.3482437872692093,0.07539432396883478
2022/12/31,0.5318882131532368,0.1426239768630564,0.1355102494923928,0.3545782275949091,0.17964518937411514
2023/1/31,0.7698958477197215,0.1512619980278661,0.0565738603176369,0.6243016898626345,0.17221357666808904
2023/2/28,0.424799663043917,0.3643899623244958,0.0078992017355992,0.264445233760849,0.15391832602103483
2023/3/31,0.2908222169035916,0.1038319635083075,0.0425833727366283,0.4557845253220257,0.10728996185442702
2023/4/30,0.3446601224271909,0.0672869923936395,0.0054515617611882,0.0152643869763121,0.045173183400848874
2023/5/31,0.3480578489148099,0.0584042039129374,0.0013072622590604,0.3632191189916232,0.06721164030101791
2023/6/30,0.3300682724391578,0.0771281605754678,0.0210830806886768,0,0.054882645690592646
2023/7/31,0.4224128326920184,0.1586321149332279,0.0298445192334436,0.2856460522379306,0.1105790889384146
2023/8/31,0.361329712559004,0.4034471720053831,0.041192668205713,0.3872609441778442,0.18951113755555013
2023/9/30,0.3234543101787689,0.0895378866832264,0.0246432842878202,0.4832830026135414,0.09708895988807115
2023/10/31,0.3756390170771032,0.0472327249254356,0.0017801017995716,0.4413497334556243,0.07212149027736128
2023/11/30,0.3491504359158429,0.0310549473319214,0,0.4204971674970715,0.06327242989949294
2023/12/31,0.4016747167695608,0.0806268812584494,0.0304008010458098,0.4872782510378348,0.10324027341558337
2024/1/31,0.2646228566126097,0.3643495595545476,0.0082051567324006,0.542241532596251,0.16517074355644593
2024/2/29,0.3490315510444335,0.1119556574975733,0.0175228770895335,0.4709852440191482,0.09992046765086096
2024/3/31,0.4409951777465647,0.0932120907031333,0.0264512001780101,0.5623586134351989,0.11274554322687999
2024/4/30,0.4139883903110416,0.1489538806346589,0.0017801017995716,0.532624644107373,0.11002236071895863
2024/5/31,0.4388512413351386,0.0509643592309085,0.0014185186215336,0.3607444669575212,0.07080803012816177
2024/6/30,0.3028907655614039,0.1116680679984659,0.0490084276694573,0.4534778863464523,0.11380002812060167
2024/7/31,0.3820050309163411,0.1133763169252944,0.0542652907963174,0.4847785323596876,0.12478354376946584
2024/8/31,0.3851246389619309,0.3830069322460522,0.077045031012711,0.5105095567980181,0.21556011347127857
2024/9/30,0.3935672949025945,0.07876363240595,0.0558228798709426,0.5161031715278969,0.1191510348926017
2024/10/31,0.4306851526338131,0.0031522921985128,0.0252273801908046,0.444143710379895,0.07712013719822408
2024/11/30,0.3823255721375831,0,0.0518176508219063,0.4360949991746125,0.0879450228924144
2024/12/31,0,0.0003705367208066,0.0127388535031847,0.5908081284651113,0.05283664429090384
